date,SP500,NASDAQ,US2,US5,US10,US20,CRUDE_W,GOLD,COPPER,CORN,WHEAT,SOYBEAN,EUR,JPY,GBP
2019-09-05,0.11306722710261438,0.12329240632642453,-0.9118286285428211,-0.6644004824361376,-0.5735744869942068,-0.198674375046424,0.1243657345265245,-0.2406852017041745,0.11394580153773812,0.06305103685182244,-0.003186295298047438,-0.10224219100355399,0.02723690421635444,-0.2771772413771502,0.0392363573974563
2019-09-06,0.11559479568483005,0.12492743994043987,-0.9103274767982392,-0.6847375553855622,-0.588597855372555,-0.2051625912940857,0.1268434474091177,-0.24364850654854794,0.1104031510755049,0.06435790755915698,-0.0013319044622418577,-0.10114474712516537,0.01809637567579199,-0.27717172068934237,0.027384906863123153
2019-09-08,0.11334054920906056,0.12455884228857599,-0.9509953196887847,-0.7106456502424903,-0.6038802054193673,-0.2074876354403971,0.11364805473760001,-0.21130405598763063,0.10961047025152185,0.06749758428213376,0.0015142613911878385,-0.09497615968518323,0.01349202371746712,-0.2711592868750368,0.012674267064313087
2019-09-09,0.11719495483817377,0.12953997431134967,-0.9675838824699245,-0.7101011438185206,-0.5917117520916342,-0.20642641093762198,0.1176024680329757,-0.2163862853393423,0.10867476473001214,0.07121370944005155,0.004348997177014892,-0.07432396784094475,0.0067428279606981945,-0.27656713242422,0.0002863292080127842
2019-09-10,0.11973414448738634,0.1315146753337612,-1.0013677734763584,-0.7301807522003949,-0.6043797707881475,-0.2074230504939365,0.11856215321378046,-0.21365776623031157,0.11016025877665095,0.07355541607194659,0.0064850011127900046,-0.06840967526577922,0.005902757580603879,-0.2820538852876558,-0.011242765986487158
2019-09-11,0.11923357327543599,0.13155767549436395,-1.0464186581152033,-0.7396418999534549,-0.6091015824995727,-0.20126614872289858,0.11874221033331031,-0.21106155398539245,0.11162190200456126,0.07509230098125355,0.008191312617552831,-0.06482163024380727,1.5661536992422898e-05,-0.284416723359621,-0.020856968750114446
2019-09-12,0.12189276254368545,0.1366152846270104,-1.0473575777745086,-0.7283370037373267,-0.59584597693344,-0.18431697871645414,0.1187249521084592,-0.21269517607026955,0.11601328386274148,0.07901300541317607,0.008782503176720849,-0.055610878038796836,-0.008989304271548176,-0.2903297519319762,-0.033466741618512014
2019-09-13,0.12537645002551442,0.14232828133252487,-1.0082329543163493,-0.7184506801694002,-0.5862992687517086,-0.17829005560094324,0.12057412967901357,-0.2153907629097153,0.12155636579929273,0.081174042972255,0.010567121995463714,-0.058567787957312566,-0.018015388662934395,-0.2956613227103045,-0.03766704850511506
2019-09-15,0.12416808286255131,0.14283143175567448,-1.0156038316116365,-0.7325745138303424,-0.5946557932284455,-0.17659464916820522,0.11097441816382762,-0.2175143299816038,0.12374865652768799,0.08457262029226789,0.011849784348505598,-0.048629406395187535,-0.02030870975534521,-0.3004404776536583,-0.04152375133731391
2019-09-16,0.12663542572805123,0.14525549859552367,-0.9997536538929908,-0.7356056087685987,-0.5983468402015063,-0.17086913378376584,0.102956471564517,-0.2187207872669325,0.1307247458378138,0.08191578656502632,0.013046950024933656,-0.048844866646960666,-0.023868916754098884,-0.30392355237874363,-0.05362741090509905
